anon_polygon_id,date,crop_type,primary_ndvi_raw,ndvi_harmonized,selected_source,calibration_supported,is_observed,quality,expected_ndvi,climatology_scale,reference_years,reference_level,q10,q25,q50,q75,q90,residual,robust_z,effective_z,source_switch_risk,confidence,candidate
AOI-0026,2024-04-01,озимая пшеница,,,unknown,False,False,0.0,0.31908366369966124,0.17338628212302273,14,polygon,0.1897855911120851,0.2130000656016979,0.31908366369966124,0.5167753094436838,0.6584770299067191,,,,False,0.0,False
AOI-0026,2024-04-02,озимая пшеница,,,unknown,False,False,0.0,0.3181934135245301,0.172780958887044,14,polygon,0.1897855911120851,0.21298751953149522,0.3181934135245301,0.5167747344272531,0.6584770299067191,,,,False,0.0,False
AOI-0026,2024-04-03,озимая пшеница,,,unknown,False,False,0.0,0.31784038200589404,0.17221115501237355,14,polygon,0.18972341947353472,0.21294013761254968,0.31784038200589404,0.48749741882881326,0.6584770299067191,,,,False,0.0,False
AOI-0026,2024-04-04,озимая пшеница,0.1922366511559248,0.1922366511559248,s2,True,True,1.0,0.3177948000998527,0.17221115501237355,14,polygon,0.18972341947353472,0.21294013761254968,0.3177948000998527,0.48702384640743923,0.6584770299067191,-0.12555814894392792,-0.7290941689282929,-0.7290941689282929,False,1.0,False
AOI-0026,2024-04-05,озимая пшеница,,,unknown,False,False,0.0,0.33072602038758586,0.19746081584654393,14,polygon,0.1852038254683432,0.21250212177796116,0.33072602038758586,0.5069390370088288,0.6584666122625286,,,,False,0.0,False
AOI-0026,2024-04-06,озимая пшеница,0.3622629205036647,0.26428202700883274,modis,True,True,1.0,0.33187891113047496,0.19846691822568524,14,polygon,0.18509198046114406,0.21254675701597076,0.33187891113047496,0.5069390370088288,0.6789745602442102,-0.06759688412164222,-0.34059522224643457,-0.34059522224643457,True,0.6,False
AOI-0026,2024-04-07,озимая пшеница,,,unknown,False,False,0.0,0.33187891113047496,0.19846691822568524,14,polygon,0.18509198046114406,0.21280474501348035,0.33187891113047496,0.506938461992398,0.6790888862477407,,,,False,0.0,False
AOI-0026,2024-04-08,озимая пшеница,,,unknown,False,False,0.0,0.32378841816404663,0.18236659680850184,14,polygon,0.18509198046114406,0.21657790878038868,0.32378841816404663,0.506938461992398,0.6833620695167604,,,,False,0.0,False
AOI-0026,2024-04-09,озимая пшеница,0.1982452545182976,0.1982452545182976,s2,True,True,1.0,0.32357392775895827,0.18236659680850184,14,polygon,0.18509198046114406,0.21660356511235818,0.32357392775895827,0.506938461992398,0.6833620695167604,-0.12532867324066066,-0.6872348085338504,-0.6872348085338504,True,0.6,False
AOI-0026,2024-04-10,озимая пшеница,,,unknown,False,False,0.0,0.32357392775895827,0.18227234971892164,14,polygon,0.1870372832319564,0.2167007159270119,0.32357392775895827,0.506938461992398,0.6833620695167604,,,,False,0.0,False
AOI-0026,2024-04-11,озимая пшеница,,,unknown,False,False,0.0,0.32862902686794326,0.18818168374286195,14,polygon,0.19388980446050416,0.2167131955797441,0.32862902686794326,0.5342019866602918,0.6833620695167604,,,,False,0.0,False
AOI-0026,2024-04-12,озимая пшеница,,,unknown,False,False,0.0,0.33538947115394707,0.18485019626752702,14,polygon,0.20502280613459897,0.2613198128275022,0.33538947115394707,0.5356728912076105,0.7160041800512247,,,,False,0.0,False
AOI-0026,2024-04-13,озимая пшеница,0.2537076440837953,0.21760594224235597,landsat,True,True,1.0,0.35838283578162,0.20815479495970296,14,polygon,0.22779799698447412,0.2541537590068224,0.35838283578162,0.615067851905778,0.7333090730842389,-0.14077689353926404,-0.6763086748326758,-0.6763086748326758,True,0.6,False
AOI-0026,2024-04-14,озимая пшеница,0.1962678845398991,0.1962678845398991,s2,True,True,1.0,0.35840156504676224,0.20915587714102335,14,polygon,0.22789930683100645,0.25423678523413074,0.35840156504676224,0.6143647347933857,0.7333090730842389,-0.16213368050686314,-0.7751810884928876,-0.7751810884928876,True,0.6,False
AOI-0026,2024-04-15,озимая пшеница,,,unknown,False,False,0.0,0.35984259170039085,0.20916109643312242,14,polygon,0.22176085296242884,0.25430824071867186,0.35984259170039085,0.6171205445710488,0.734100699562533,,,,False,0.0,False
AOI-0026,2024-04-16,озимая пшеница,,,unknown,False,False,0.0,0.3816646811764902,0.24327340407221326,14,polygon,0.21971438651872344,0.2539283942720995,0.3816646811764902,0.6260377868630056,0.7350891017676514,,,,False,0.0,False
AOI-0026,2024-04-17,озимая пшеница,,,unknown,False,False,0.0,0.38416345506867694,0.24279125495616555,14,polygon,0.22082079189075943,0.24763773103404002,0.38416345506867694,0.657852833647346,0.741902303022682,,,,False,0.0,False
AOI-0026,2024-04-18,озимая пшеница,,,unknown,False,False,0.0,0.4694224641763081,0.3353121230949901,14,polygon,0.22634648451965597,0.2555171879769529,0.4694224641763081,0.6984779127739863,0.7611651981707418,,,,False,0.0,False
AOI-0026,2024-04-19,озимая пшеница,,,unknown,False,False,0.0,0.4693149755761845,0.3162402083375477,14,polygon,0.23356833798115056,0.27011435870074085,0.4693149755761845,0.6997288334400102,0.7680267231194065,,,,False,0.0,False
AOI-0026,2024-04-20,озимая пшеница,,,unknown,False,False,0.0,0.47049354005178157,0.3175015487206202,14,polygon,0.23268305061492323,0.27063085549926863,0.47049354005178157,0.7001228573824176,0.7666404015027256,,,,False,0.0,False
AOI-0026,2024-04-21,озимая пшеница,,,unknown,False,False,0.0,0.4751845762462371,0.3399315294502788,14,polygon,0.21997282166430007,0.2740354690135537,0.4751845762462371,0.7215552392279723,0.7725368632574079,,,,False,0.0,False
