anon_polygon_id,date,mode,repeat,fold,seed,role,seen_polygon,fit_excluded_polygons,context_policy,cutoff_date,fold_version
AOI-0002,2014-09-17,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2020-09-01,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2022-06-24,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-07-12,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-07-14,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-07-15,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-08-29,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-09-02,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-09-14,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
AOI-0002,2023-10-04,A,0,0,17,validation,True,"[""AOI-0004"", ""AOI-0007"", ""AOI-0011"", ""AOI-0015"", ""AOI-0026"", ""AOI-0027"", ""AOI-0030"", ""AOI-0035"", ""AOI-0040"", ""AOI-0041"", ""AOI-0045"", ""AOI-0050"", ""AOI-0052"", ""AOI-0055"", ""AOI-0064"", ""AOI-0069"", ""AOI-0075"", ""AOI-0076"", ""AOI-0077""]",transductive,,folds_v1
