anon_polygon_id,date,primary_ndvi,source,reference_mean,reference_std,reference_years,z_score,quality_issue,status,primary_ndvi_pred
AOI-0005,2010-04-01,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-02,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-03,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-04,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-05,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-06,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-07,0.2971594109195402,modis,0.4959336114365177,0.12076993531015551,14.0,-1.6458914216232312,False,negative_candidate,
AOI-0005,2010-04-08,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-09,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-10,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-11,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-12,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-13,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-14,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-15,0.2075563399744296,landsat,0.4305036706868135,0.16323068310207714,13.0,-1.3658420492730687,False,negative_candidate,
AOI-0005,2010-04-16,0.205342065116338,landsat,0.43724768499917893,0.16190375948729124,13.0,-1.4323671088134586,False,negative_candidate,
AOI-0005,2010-04-17,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-18,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-19,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-20,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-21,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-22,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-23,0.2654984547617997,landsat,0.5096028796462563,0.14925714620201758,14.0,-1.6354622280802855,False,negative_candidate,
AOI-0005,2010-04-24,0.2319233305464172,landsat,0.5184913130743756,0.14611358958527212,14.0,-1.9612685126780545,False,negative_candidate,
AOI-0005,2010-04-25,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-26,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-27,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-28,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-29,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-04-30,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-01,0.2251470035186127,landsat,0.5875182078064639,0.1144732492583719,14.0,-3.165553582479004,False,strong_negative_candidate,
AOI-0005,2010-05-02,,missing,,,0.0,,False,insufficient_or_invalid,0.2437635068
AOI-0005,2010-05-03,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-04,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-05,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-06,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-07,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-08,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-09,0.5947536398467432,modis,0.7382446739716598,0.05369866368760473,14.0,-2.6721527924732817,False,strong_negative_candidate,
AOI-0005,2010-05-10,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-11,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-12,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-13,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-14,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-15,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-16,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-17,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-18,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-19,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-20,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-21,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-22,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-23,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-24,,missing,,,0.0,,False,insufficient_or_invalid,
AOI-0005,2010-05-25,0.6943527538314175,modis,0.7516740847192027,0.04635576565227136,14.0,-1.236552348585285,False,negative_candidate,
