anon_polygon_id,date,y_true,source,crop_type,year,month,seen_polygon,left_days,right_days,gap_length,gap_position,left_distance_bin,right_distance_bin,p_s2,p_landsat,p_modis,p_unknown,context_quality,left_days_1,right_days_1,mode,repeat,fold,seed,pred_nearest_left,error_nearest_left,pred_nearest_right,error_nearest_right,pred_mean_neighbors,error_mean_neighbors,pred_linear,error_linear,pred_seasonal_crop,error_seasonal_crop,pred_pchip,error_pchip,pred_akima,error_akima,split,is_unseen,is_hard,primary_ndvi_pred,base_pred
AOI-0002,2014-09-17,0.1455584442513685,landsat,озимая пшеница,2014,9,True,3.0,13.0,1,0,0-7,8-15,0.032269287781007,0.7210820835140366,0.2334907339681142,0.0131578947368421,0.8333333333333334,3.0,13.0,A,0,r0_f0,17,0.2115757111597374,0.0660172669083689,0.2336505966587112,0.0880921524073427,0.2226131539092243,0.0770547096578558,0.2157147521907949,0.0701563079394264,0.2323186698409349,0.0867602255895664,0.213612895417211,0.0680544511658425,0.2127183625261801,0.0671599182748116,matched,False,False,0.166366845369339,0.21173697710037231
AOI-0002,2020-09-01,0.4192959284849292,landsat,озимая пшеница,2020,9,True,4.0,1.0,1,0,0-7,0-7,0.3747471588901943,0.525543820995036,0.0943898711785993,0.0053191489361702,0.9375,4.0,1.0,A,0,r0_f0,17,0.3955587112171838,-0.0237372172677454,0.4192992563174124,3.3278324831909067e-06,0.4074289837672981,-0.0118669447176311,0.4145511472973666,-0.0047447811875625,0.2613607703614092,-0.15793515812352,0.4168302396269886,-0.0024656888579405,0.4178253566473573,-0.0014705718375718,matched,False,False,0.37191084027290344,0.41644787788391113
AOI-0002,2022-06-24,0.4385884011111776,s2,озимая пшеница,2022,6,True,5.0,2.0,1,0,0-7,0-7,0.5841382829145711,0.2892043131558566,0.1199006471728154,0.0067567567567567,0.8823529411764706,5.0,2.0,A,0,r0_f0,17,0.7710646752905727,0.332476274179395,0.3984877804295944,-0.0401006206815832,0.5847762278600835,0.1461878267489059,0.5049383218184452,0.0663499207072676,0.5174310253937682,0.0788426242825905,0.5070367725194538,0.0684483714082762,0.4967934973925109,0.0582050962813333,matched,False,False,0.4431855380535126,0.4661617875099182
AOI-0002,2023-07-12,0.6329883532219571,modis,озимая пшеница,2023,7,True,8.0,4.0,3,0,8-15,0-7,0.1224651197747987,0.1426029553104943,0.7303022952850773,0.0046296296296296,0.7894736842105263,8.0,4.0,A,0,r0_f0,17,0.748478588103337,0.1154902348813798,0.7329763998116905,0.0999880465897333,0.7407274939575137,0.1077391407355565,0.738143795908906,0.1051554426869488,0.3922055829921826,-0.2407827702297745,0.7410862700393931,0.1080979168174359,0.7412312719402845,0.1082429187183273,matched,False,False,0.7172097563743591,0.7056752443313599
AOI-0002,2023-07-14,0.6842551184152387,s2,озимая пшеница,2023,7,True,10.0,2.0,3,1,8-15,0-7,0.7032318990811182,0.2200159881933341,0.0696092555826905,0.0071428571428571,0.8823529411764706,10.0,2.0,A,0,r0_f0,17,0.748478588103337,0.0642234696880983,0.7329763998116905,0.0487212813964518,0.7407274939575137,0.056472375542275,0.7355600978602982,0.0513049794450595,0.3922055829921826,-0.292049535423056,0.737320635347948,0.0530655169327093,0.737915900521494,0.0536607821062553,matched,False,False,0.7504130601882935,0.7121865749359131
AOI-0002,2023-07-15,0.5493577313457708,landsat,озимая пшеница,2023,7,True,11.0,1.0,3,2,8-15,0-7,0.2625212575116943,0.6448468823022998,0.0840111705308334,0.0086206896551724,0.9375,11.0,1.0,A,0,r0_f0,17,0.748478588103337,0.1991208567575662,0.7329763998116905,0.1836186684659196,0.7407274939575137,0.1913697626117428,0.7342682488359943,0.1849105174902234,0.3666954580152672,-0.1826622733305036,0.735214954522128,0.1858572231763572,0.7356811260885877,0.1863233947428169,matched,False,False,0.7288724780082703,0.7079018950462341
AOI-0002,2023-08-29,0.391390692124105,modis,озимая пшеница,2023,8,True,1.0,9.0,2,0,0-7,8-15,0.196832482505748,0.1644162641824863,0.6345139651761724,0.0042372881355932,0.9375,1.0,9.0,A,0,r0_f0,17,0.3180491654795986,-0.0733415266445063,0.279789912358092,-0.111600779766013,0.2989195389188452,-0.0924711532052597,0.3142232401674479,-0.077167451956657,0.2613607703614092,-0.1300299217626958,0.3113694984220479,-0.080021193702057,0.3138572968048079,-0.0775333953192971,matched,False,False,0.3916306495666504,0.31966009736061096
AOI-0002,2023-09-02,0.2999923749530699,s2,озимая пшеница,2023,9,True,5.0,5.0,2,1,0-7,0-7,0.700345170206293,0.2552778838622814,0.0377979985630044,0.006578947368421,0.75,5.0,5.0,A,0,r0_f0,17,0.3180491654795986,0.0180567905265287,0.279789912358092,-0.0202024625949779,0.2989195389188452,-0.0010728360342246,0.2989195389188453,-0.0010728360342245,0.2613607703614092,-0.0386316045916607,0.2960316292483479,-0.0039607457047219,0.3014613560941775,0.0014689811411076,matched,False,False,0.25309938192367554,0.3040754497051239
AOI-0002,2023-09-14,0.378106491646778,modis,озимая пшеница,2023,9,True,2.0,3.0,1,0,0-7,0-7,0.5019844994357743,0.135097536609942,0.358531999042003,0.0043859649122807,0.8823529411764706,2.0,3.0,A,0,r0_f0,17,0.2434787120797762,-0.1346277795670018,0.2286733280512461,-0.1494331635955319,0.2360760200655111,-0.1420304715812668,0.2375565584683641,-0.1405499331784138,0.2323186698409349,-0.1457878218058431,0.2352382749972453,-0.1428682166495326,0.2331214706770046,-0.1449850209697733,matched,False,False,0.3136269152164459,0.24258005619049072
AOI-0002,2023-10-04,0.2730755806005377,landsat,озимая пшеница,2023,10,True,2.0,3.0,1,0,0-7,0-7,0.5887137782276757,0.3788569151301287,0.0276216143345032,0.0048076923076923,0.8823529411764706,2.0,3.0,A,0,r0_f0,17,0.2505666144925308,-0.0225089661080069,0.2435073986566359,-0.0295681819439018,0.2470370065745833,-0.0260385740259543,0.2477429281581728,-0.0253326524423648,0.2300744919123765,-0.0430010886881612,0.2457845304774374,-0.0272910501231003,0.2460922503201139,-0.0269833302804237,matched,False,False,0.19962050020694733,0.25393638014793396
