anon_polygon_id,date,crop_type,ndvi_harmonized,is_observed,quality,selected_source
TOY-FIELD,2015-04-01,wheat,0.492,True,1.0,s2
TOY-FIELD,2015-04-03,wheat,0.4973560040813748,True,1.0,s2
TOY-FIELD,2015-04-05,wheat,0.5027051772510118,True,1.0,s2
TOY-FIELD,2015-04-07,wheat,0.5080406973091448,True,1.0,s2
TOY-FIELD,2015-04-09,wheat,0.5133557594688395,True,1.0,s2
TOY-FIELD,2015-04-11,wheat,0.5186435850346467,True,1.0,s2
TOY-FIELD,2015-04-13,wheat,0.5238974300479776,True,1.0,s2
TOY-FIELD,2015-04-15,wheat,0.5291105938881784,True,1.0,s2
TOY-FIELD,2015-04-17,wheat,0.5342764278183315,True,1.0,s2
TOY-FIELD,2015-04-19,wheat,0.5393883434648857,True,1.0,s2
TOY-FIELD,2015-04-21,wheat,0.5444398212203013,True,1.0,s2
TOY-FIELD,2015-04-23,wheat,0.5494244185579915,True,1.0,s2
TOY-FIELD,2015-04-25,wheat,0.5543357782489577,True,1.0,s2
TOY-FIELD,2015-04-27,wheat,0.5591676364696385,True,1.0,s2
TOY-FIELD,2015-04-29,wheat,0.5639138307906304,True,1.0,s2
TOY-FIELD,2015-05-01,wheat,0.5685683080360949,True,1.0,s2
TOY-FIELD,2015-05-03,wheat,0.5731251320038248,True,1.0,s2
TOY-FIELD,2015-05-05,wheat,0.577578491036126,True,1.0,s2
TOY-FIELD,2015-05-07,wheat,0.5819227054318589,True,1.0,s2
TOY-FIELD,2015-05-09,wheat,0.5861522346901842,True,1.0,s2
TOY-FIELD,2015-05-11,wheat,0.5902616845767777,True,1.0,s2
TOY-FIELD,2015-05-13,wheat,0.5942458140035001,True,1.0,s2
TOY-FIELD,2015-05-15,wheat,0.5980995417127472,True,1.0,s2
TOY-FIELD,2015-05-17,wheat,0.6018179527579574,True,1.0,s2
TOY-FIELD,2015-05-19,wheat,0.6053963047720099,True,1.0,s2
TOY-FIELD,2015-05-21,wheat,0.6088300340155193,True,1.0,s2
TOY-FIELD,2015-05-23,wheat,0.6121147611973129,True,1.0,s2
TOY-FIELD,2015-05-25,wheat,0.615246297059668,True,1.0,s2
TOY-FIELD,2015-05-27,wheat,0.6182206477211845,True,1.0,s2
TOY-FIELD,2015-05-29,wheat,0.62103401977048,True,1.0,s2
TOY-FIELD,2015-05-31,wheat,0.6236828251042106,True,1.0,s2
TOY-FIELD,2015-06-02,wheat,0.6261636855032467,True,1.0,s2
TOY-FIELD,2015-06-04,wheat,0.6284734369411686,True,1.0,s2
TOY-FIELD,2015-06-06,wheat,0.6306091336195843,True,1.0,s2
TOY-FIELD,2015-06-08,wheat,0.6325680517251271,True,1.0,s2
TOY-FIELD,2015-06-10,wheat,0.6343476929033379,True,1.0,s2
TOY-FIELD,2015-06-12,wheat,0.6359457874450027,True,1.0,s2
TOY-FIELD,2015-06-14,wheat,0.6373602971808825,True,1.0,s2
TOY-FIELD,2015-06-16,wheat,0.6385894180811424,True,1.0,s2
TOY-FIELD,2015-06-18,wheat,0.639631582556166,True,1.0,s2
TOY-FIELD,2015-06-20,wheat,0.6404854614558186,True,1.0,s2
TOY-FIELD,2015-06-22,wheat,0.6411499657646123,True,1.0,s2
TOY-FIELD,2015-06-24,wheat,0.6416242479906081,True,1.0,s2
TOY-FIELD,2015-06-26,wheat,0.6419077032462868,True,1.0,s2
TOY-FIELD,2015-06-28,wheat,0.6419999700200052,True,1.0,s2
TOY-FIELD,2015-06-30,wheat,0.6419009306370611,True,1.0,s2
TOY-FIELD,2015-07-02,wheat,0.641610711409771,True,1.0,s2
TOY-FIELD,2015-07-04,wheat,0.6411296824763753,True,1.0,s2
TOY-FIELD,2015-07-06,wheat,0.6404584573289732,True,1.0,s2
TOY-FIELD,2015-07-08,wheat,0.6395978920310905,True,1.0,s2
TOY-FIELD,2015-07-10,wheat,0.638549084125878,True,1.0,s2
TOY-FIELD,2015-07-12,wheat,0.6373133712363322,True,1.0,s2
TOY-FIELD,2015-07-14,wheat,0.635892329359326,True,1.0,s2
TOY-FIELD,2015-07-16,wheat,0.6342877708556213,True,1.0,s2
TOY-FIELD,2015-07-18,wheat,0.63250174213843,True,1.0,s2
TOY-FIELD,2015-07-20,wheat,0.6305365210634715,True,1.0,s2
TOY-FIELD,2015-07-22,wheat,0.6283946140238522,True,1.0,s2
TOY-FIELD,2015-07-24,wheat,0.6260787527534761,True,1.0,s2
TOY-FIELD,2015-07-26,wheat,0.62359189084306,True,1.0,s2
TOY-FIELD,2015-07-28,wheat,0.6209371999731995,True,1.0,s2
TOY-FIELD,2015-07-30,wheat,0.6181180658692875,True,1.0,s2
TOY-FIELD,2015-08-01,wheat,0.6151380839834463,True,1.0,s2
TOY-FIELD,2015-08-03,wheat,0.6120010549089786,True,1.0,s2
TOY-FIELD,2015-08-05,wheat,0.6087109795331882,True,1.0,s2
TOY-FIELD,2015-08-07,wheat,0.6052720539347487,True,1.0,s2
TOY-FIELD,2015-08-09,wheat,0.601688664032132,True,1.0,s2
TOY-FIELD,2015-08-11,wheat,0.5979653799899188,True,1.0,s2
TOY-FIELD,2015-08-13,wheat,0.5941069503901267,True,1.0,s2
TOY-FIELD,2015-08-15,wheat,0.5901182961759893,True,1.0,s2
TOY-FIELD,2015-08-17,wheat,0.5860045043759096,True,1.0,s2
TOY-FIELD,2015-08-19,wheat,0.5817708216155935,True,1.0,s2
TOY-FIELD,2015-08-21,wheat,0.5774226474266362,True,1.0,s2
TOY-FIELD,2015-08-23,wheat,0.5729655273600965,True,1.0,s2
TOY-FIELD,2015-08-25,wheat,0.5684051459138424,True,1.0,s2
TOY-FIELD,2015-08-27,wheat,0.5637473192826853,True,1.0,s2
TOY-FIELD,2016-04-01,wheat,0.506,True,1.0,s2
TOY-FIELD,2016-04-03,wheat,0.5113560040813748,True,1.0,s2
TOY-FIELD,2016-04-05,wheat,0.5167051772510118,True,1.0,s2
TOY-FIELD,2016-04-07,wheat,0.5220406973091448,True,1.0,s2
TOY-FIELD,2016-04-09,wheat,0.5273557594688395,True,1.0,s2
TOY-FIELD,2016-04-11,wheat,0.5326435850346467,True,1.0,s2
TOY-FIELD,2016-04-13,wheat,0.5378974300479776,True,1.0,s2
TOY-FIELD,2016-04-15,wheat,0.5431105938881784,True,1.0,s2
TOY-FIELD,2016-04-17,wheat,0.5482764278183315,True,1.0,s2
TOY-FIELD,2016-04-19,wheat,0.5533883434648857,True,1.0,s2
TOY-FIELD,2016-04-21,wheat,0.5584398212203013,True,1.0,s2
TOY-FIELD,2016-04-23,wheat,0.5634244185579915,True,1.0,s2
TOY-FIELD,2016-04-25,wheat,0.5683357782489578,True,1.0,s2
TOY-FIELD,2016-04-27,wheat,0.5731676364696385,True,1.0,s2
TOY-FIELD,2016-04-29,wheat,0.5779138307906304,True,1.0,s2
TOY-FIELD,2016-05-01,wheat,0.5825683080360949,True,1.0,s2
TOY-FIELD,2016-05-03,wheat,0.5871251320038248,True,1.0,s2
TOY-FIELD,2016-05-05,wheat,0.591578491036126,True,1.0,s2
TOY-FIELD,2016-05-07,wheat,0.5959227054318589,True,1.0,s2
TOY-FIELD,2016-05-09,wheat,0.6001522346901842,True,1.0,s2
TOY-FIELD,2016-05-11,wheat,0.6042616845767778,True,1.0,s2
TOY-FIELD,2016-05-13,wheat,0.6082458140035001,True,1.0,s2
TOY-FIELD,2016-05-15,wheat,0.6120995417127472,True,1.0,s2
TOY-FIELD,2016-05-17,wheat,0.6158179527579574,True,1.0,s2
TOY-FIELD,2016-05-19,wheat,0.6193963047720099,True,1.0,s2
TOY-FIELD,2016-05-21,wheat,0.6228300340155193,True,1.0,s2
TOY-FIELD,2016-05-23,wheat,0.6261147611973129,True,1.0,s2
TOY-FIELD,2016-05-25,wheat,0.6292462970596681,True,1.0,s2
TOY-FIELD,2016-05-27,wheat,0.6322206477211845,True,1.0,s2
TOY-FIELD,2016-05-29,wheat,0.63503401977048,True,1.0,s2
TOY-FIELD,2016-05-31,wheat,0.6376828251042106,True,1.0,s2
TOY-FIELD,2016-06-02,wheat,0.6401636855032468,True,1.0,s2
TOY-FIELD,2016-06-04,wheat,0.6424734369411687,True,1.0,s2
TOY-FIELD,2016-06-06,wheat,0.6446091336195843,True,1.0,s2
TOY-FIELD,2016-06-08,wheat,0.6465680517251271,True,1.0,s2
TOY-FIELD,2016-06-10,wheat,0.6483476929033379,True,1.0,s2
TOY-FIELD,2016-06-12,wheat,0.6499457874450028,True,1.0,s2
TOY-FIELD,2016-06-14,wheat,0.6513602971808825,True,1.0,s2
TOY-FIELD,2016-06-16,wheat,0.6525894180811425,True,1.0,s2
TOY-FIELD,2016-06-18,wheat,0.653631582556166,True,1.0,s2
TOY-FIELD,2016-06-20,wheat,0.6544854614558187,True,1.0,s2
TOY-FIELD,2016-06-22,wheat,0.6551499657646123,True,1.0,s2
TOY-FIELD,2016-06-24,wheat,0.6556242479906081,True,1.0,s2
TOY-FIELD,2016-06-26,wheat,0.6559077032462868,True,1.0,s2
TOY-FIELD,2016-06-28,wheat,0.6559999700200052,True,1.0,s2
TOY-FIELD,2016-06-30,wheat,0.6559009306370611,True,1.0,s2
TOY-FIELD,2016-07-02,wheat,0.655610711409771,True,1.0,s2
TOY-FIELD,2016-07-04,wheat,0.6551296824763753,True,1.0,s2
TOY-FIELD,2016-07-06,wheat,0.6544584573289732,True,1.0,s2
TOY-FIELD,2016-07-08,wheat,0.6535978920310905,True,1.0,s2
