anon_polygon_id,date,primary_ndvi_pred,lower_empirical90,upper_empirical90
AOI-0005,2010-05-02,0.2402489879,0.16220262069135327,0.3182953551086467
AOI-0005,2010-07-28,0.2732020709,0.19515570369135327,0.3512484381086467
AOI-0005,2010-08-05,0.2189581509,0.1409117836913533,0.2970045181086467
AOI-0005,2010-08-29,0.2622960777,0.1842497104913533,0.34034244490864674
AOI-0005,2010-08-30,0.2290893254,0.15104295819135327,0.3071356926086467
AOI-0005,2010-09-06,0.2287353883,0.1506890210913533,0.3067817555086467
AOI-0005,2011-04-02,0.2748329741,0.1967866068913533,0.35287934130864673
AOI-0005,2011-06-06,0.7752592391,0.6972128718913533,0.8533056063086468
AOI-0005,2011-06-26,0.5630370184,0.48499065119135326,0.6410833856086466
AOI-0005,2011-09-02,0.4088417805,0.33079541329135326,0.4868881477086467
AOI-0005,2012-04-04,0.1656838671,0.08763749989135328,0.2437302343086467
AOI-0005,2012-04-29,0.5262821679,0.4482358006913533,0.6043285351086467
AOI-0005,2012-05-06,0.5566081404,0.47856177319135323,0.6346545076086467
AOI-0005,2012-05-31,0.7908340391,0.7127876718913533,0.8688804063086468
AOI-0005,2012-08-10,0.1796402644,0.10159389719135328,0.2576866316086467
AOI-0005,2012-08-12,0.2768598959,0.19881352869135327,0.3549062631086467
AOI-0005,2013-06-26,0.3506059752,0.27255960799135326,0.4286523424086467
AOI-0005,2013-07-12,0.3090292133,0.23098284609135328,0.3870755805086467
AOI-0005,2013-08-21,0.4354313972,0.3573850299913533,0.5134777644086468
AOI-0005,2013-08-29,0.4420394539,0.3639930866913533,0.5200858211086468
AOI-0005,2014-04-18,0.3903239595,0.31227759229135327,0.4683703267086467
AOI-0005,2014-04-27,0.5676829304,0.48963656319135324,0.6457292976086466
AOI-0005,2014-05-04,0.6676207161,0.5895743488913532,0.7456670833086467
AOI-0005,2014-05-09,0.7583096119,0.6802632446913532,0.8363559791086468
AOI-0005,2014-06-10,0.6662262812,0.5881799139913533,0.7442726484086468
AOI-0005,2014-07-28,0.4472043856,0.36915801839135326,0.5252507528086467
AOI-0005,2014-10-03,0.2314936167,0.15344724949135327,0.3095399839086467
AOI-0005,2015-05-23,0.7359241907,0.6578778234913534,0.8139705579086467
AOI-0005,2015-06-10,0.7715934894,0.6935471221913534,0.8496398566086467
AOI-0005,2015-10-06,0.192422192,0.11437582479135328,0.2704685592086467
AOI-0005,2016-04-22,0.6400894549,0.5620430876913534,0.7181358221086467
AOI-0005,2016-05-08,0.7553879045,0.6773415372913534,0.8334342717086467
AOI-0005,2016-09-13,0.3676012381,0.2895548708913533,0.4456476053086467
AOI-0005,2017-04-11,0.1773885558,0.09934218859135327,0.2554349230086467
AOI-0005,2017-04-23,0.5619246509,0.4838782836913533,0.6399710181086466
AOI-0005,2017-04-26,0.3808148249,0.3027684576913533,0.45886119210864673
AOI-0005,2017-07-23,0.5148057527,0.43675938549135324,0.5928521199086467
AOI-0005,2017-09-25,0.4945972393,0.4165508720913533,0.5726436065086467
AOI-0005,2017-10-04,0.445003006,0.36695663879135326,0.5230493732086468
AOI-0005,2018-05-01,0.5876505233,0.5096041560913533,0.6656968905086467
AOI-0005,2018-05-16,0.6799974356,0.6019510683913534,0.7580438028086467
AOI-0005,2018-06-01,0.6415541255,0.5635077582913532,0.7196004927086468
AOI-0005,2018-07-10,0.3822820538,0.3042356865913533,0.46032842100864674
AOI-0005,2018-08-27,0.3925938156,0.3145474483913533,0.4706401828086467
AOI-0005,2018-09-30,0.3808887843,0.3028424170913533,0.4589351515086467
AOI-0005,2019-04-26,0.6218003384,0.5437539711913533,0.6998467056086468
AOI-0005,2019-05-11,0.7179481499,0.6399017826913533,0.7959945171086467
AOI-0005,2019-05-18,0.7995895993,0.7215432320913533,0.8776359665086466
AOI-0005,2019-05-21,0.7921085315,0.7140621642913534,0.8701548987086467
AOI-0005,2019-06-11,0.6812069314,0.6031605641913533,0.7592532986086467
AOI-0005,2019-06-25,0.5156370695,0.4375907022913533,0.5936834367086468
AOI-0005,2019-07-12,0.4805090379,0.4024626706913533,0.5585554051086468
AOI-0005,2019-08-23,0.3297249901,0.2516786228913533,0.4077713573086467
AOI-0005,2019-08-24,0.3332832334,0.2552368661913533,0.4113296006086467
AOI-0005,2019-09-03,0.341986736,0.2639403687913533,0.42003310320864673
AOI-0005,2019-09-07,0.4070043765,0.32895800929135327,0.4850507437086467
AOI-0005,2019-09-08,0.3531109568,0.27506458959135327,0.4311573240086467
AOI-0005,2019-09-15,0.3022575736,0.22421120639135328,0.3803039408086467
AOI-0005,2020-04-22,0.4211885861,0.34314221889135327,0.4992349533086467
AOI-0005,2020-05-08,0.7112318296,0.6331854623913533,0.7892781968086466
AOI-0005,2020-08-16,0.4816371683,0.40359080109135326,0.5596835355086467
AOI-0005,2020-08-23,0.4061180267,0.3280716594913533,0.48416439390864674
AOI-0005,2020-08-24,0.4656529089,0.3876065416913533,0.5436992761086468
AOI-0005,2020-09-02,0.3630823823,0.2850360150913533,0.4411287495086467
AOI-0005,2020-09-17,0.3090459226,0.2309995553913533,0.38709228980864674
AOI-0005,2020-09-29,0.3300465298,0.25200016259135327,0.4080928970086467
AOI-0005,2021-04-21,0.500027468,0.42198110079135326,0.5780738352086467
AOI-0005,2021-07-12,0.5099931813,0.4319468140913533,0.5880395485086467
AOI-0005,2021-08-29,0.4105562717,0.33250990449135326,0.4886026389086467
AOI-0005,2021-09-04,0.3377613742,0.2597150069913533,0.41580774140864674
AOI-0005,2021-09-30,0.3867937833,0.3087474160913533,0.46484015050864674
AOI-0005,2021-10-14,0.3099892991,0.2319429318913533,0.3880356663086467
AOI-0005,2022-05-09,0.7846218377,0.7065754704913534,0.8626682049086467
AOI-0005,2022-05-30,0.8155188374,0.7374724701913533,0.8935652046086466
AOI-0005,2022-07-19,0.459625954,0.3815795867913533,0.5376723212086467
AOI-0005,2022-07-21,0.4611469933,0.38310062609135326,0.5391933605086467
AOI-0005,2022-07-28,0.499572258,0.4215258907913533,0.5776186252086467
AOI-0005,2022-08-03,0.3993491646,0.32130279739135326,0.4773955318086467
AOI-0005,2022-08-14,0.5002237304,0.4221773631913533,0.5782700976086468
AOI-0005,2022-08-28,0.4026875684,0.32464120119135326,0.4807339356086467
AOI-0005,2022-10-01,0.4165873206,0.33854095339135326,0.4946336878086467
AOI-0005,2023-07-14,0.5661478895,0.48810152229135323,0.6441942567086467
AOI-0005,2023-07-29,0.5248376439,0.44679127669135327,0.6028840111086466
AOI-0005,2023-08-08,0.5053644308,0.4273180635913533,0.5834107980086467
AOI-0005,2023-08-29,0.4327001801,0.3546538128913533,0.5107465473086468
AOI-0005,2023-09-12,0.3728085598,0.2947621925913533,0.4508549270086467
AOI-0005,2023-09-14,0.4035121263,0.3254657590913533,0.4815584935086467
AOI-0005,2023-09-26,0.3509113116,0.2728649443913533,0.4289576788086467
AOI-0005,2023-10-17,0.2171567893,0.1391104220913533,0.2952031565086467
AOI-0005,2024-05-31,0.7008113934,0.6227650261913533,0.7788577606086466
AOI-0005,2024-06-03,0.6799206843,0.6018743170913532,0.7579670515086467
AOI-0005,2024-07-28,0.3951605001,0.31711413289135326,0.4732068673086467
AOI-0005,2024-08-22,0.3186337924,0.2405874251913533,0.3966801596086467
AOI-0005,2024-08-28,0.3710826589,0.29303629169135326,0.4491290261086467
AOI-0005,2024-09-16,0.3001135998,0.2220672325913533,0.37815996700864674
AOI-0006,2010-04-15,0.4108202158,0.3327738485913533,0.4888665830086467
